Ein Service des Knowledge-Hubs von Monitor Versorgungsforschung. Täglich automatisiert KI-kuratiert aus PubMed und auf Deutsch übersetzt.

Aufgenommen;Autor;Publiziert am;In PubMed seit;Journal;Jahr;Titel;Fragestellung;Ergebnis;Übertragbarkeit;PMID;PubMed-Link
2026-09-03;Ni W et al.;01.09.2026;02.09.2026;J Am Coll Cardiol;2026;Kälte und Hitze erhöhen Hospitalisierungsrisiko bei Herzinsuffizienz in Schweden;Schwedische Kohorte (2006–2021) untersuchte kurzzeitige Assoziationen zwischen Kältespitzen/Hitzewellen und Hospitalisierungen wegen Herzinsuffizienz mittels case-crossover Design.;"Kältespitzen: OR 1,085 (95%-KI: 1,042–1,129) über Lag 2–6 Tage; höhere Temperaturen in Warmsaison: OR 1,009 (95%-KI: 1,006–1,013) pro 10-Perzentil-Anstieg über Lag 0–3 Tage. Verzögerte Kälteeffekte (Lag 3–5), unmittelbarere Wärmeeffekte nachgewiesen.";Schweden, gemäßigte Klimazone, vergleichbare Gesundheitssysteme mit Deutschland;42683967;https://pubmed.ncbi.nlm.nih.gov/42683967/
2026-09-03;Wei J;18.08.2026;02.09.2026;Front Public Health;2026;Warnsysteme gegen Hitzebelastung für Außenarbeiter: aktuelle Fortschritte und Umsetzungslücken;Narrativer Mini-Review zu Heat-Health Warning Systems (HHWS) für Außenarbeiter mit Fokus auf Vorhersage, Aufgabenverschlüsselung, Warnerreichbarkeit und arbeitsplatzbasierte Maßnahmen.;"Fortschritte: WBGT-Vorhersagen, UTCI-Anpassungen, IoT-gestützte Frühwarnung; moderate Evidenz für Maßnahmenpakete zur Reduktion physiologischer Belastung; niedrig-moderate Evidenz für Verletzungsreduktion; zentrale Kontroversen um standardisierte vs. adjustierte Schwellenwerte, Compliance und Datenschutz.";"Globaler Überblick; Methoden, Lücken und Governance übertragbar auf deutsches Arbeitsschutzrecht";42683104;https://pubmed.ncbi.nlm.nih.gov/42683104/
2026-09-03;Twomey EP et al.;26.06.2026;11.07.2026;Int J Public Health;2026;Verfügbarkeit von Klima- und Gesundheitsbildung in europäischen Schools of Public Health;Querschnittsstudie: Erfassung von Klima- und Gesundheitsbildungsprogrammen an 268 Schools of Public Health in 53 Ländern der WHO-Europaregion 2024/2025.;"41,4 % der Institutionen (111 von 268) boten mindestens ein verifiziertes Klima-und-Gesundheits-Programm/Kurs an; vergleichbar bei ASPHER-Mitgliedern (41 %) und Nicht-Mitgliedern (43 %); die meisten auf Master-Ebene; Bachelor-, Doktor-, berufliche Weiterbildung seltener.";Europäische Bestandsaufnahme, bildet Baseline für Deutschland und Nachbarländer;42434171;https://pubmed.ncbi.nlm.nih.gov/42434171/
2026-09-03;Kesse-Guyot E et al.;10.07.2026;10.07.2026;Am J Clin Nutr;2026;Höhere Außentemperatur ändert Lebensmittelkonsum in französischer Kohorte;Longitudinal-Studie mit 100.851 Teilnehmern aus NutriNet-Santé (2009–2023): Effekt von täglich gemessener Außentemperatur auf energieadjustierte Lebensmittelaufnahme.;"Bei 25–35 °C: Alkoholkonsum männlich +11 % (150→166 g/d), weiblich +6 % (101→107 g/d); zuckergesüßte Getränke besonders in jungen Altersgruppen +29 %; Obst/Gemüse erhöht, Fleisch/Hülsenfrüchte erniedrigt. Keine bedeutsamen Änderungen der Gesamtenergieaufnahme oder Ernährungsqualität.";Frankreich, gemäßigte Klimazone, direktes Modell für deutsche Warming-Szenarien;42431597;https://pubmed.ncbi.nlm.nih.gov/42431597/
2026-09-03;Tolley CL et al.;18.06.2026;03.07.2026;Front Public Health;2026;Risikokommunikation schlechter Luftqualität für vulnerable Gruppen;Qualitative Studie mit 50 Personen aus vulnerablen Gruppen in Nordost-England zu optimalen Strategien der Kommunikation von Luftqualitätsrisiken.;Entwicklung eines theorie- und evidenzgestützten Rahmens: zugeschnittene Informationen zu Risiken/Schäden, actionable Empfehlungen, vertrauenswürdige Quellen (Gesundheitsfachleute, Peers), multiple Kanäle (SMS, Community-basiert). Befund: Information muss zugänglich, verständlich und zielgruppenspezifisch sein.;Großbritannien, gemäßigte Klimazone, vulnerable Populationen auch in Deutschland relevant;42395301;https://pubmed.ncbi.nlm.nih.gov/42395301/
2026-09-03;Stabel LS et al.;02.07.2026;03.07.2026;BMC Health Serv Res;2026;Green Planet: Co-kreierte Intervention für Klimaschutz im Krankenhaus;Entwicklung und frühe Evaluierung einer Methode (Green Planet) zur Integration von Klimaschutzmaßnahmen in die klinische Praxis eines schwedischen Krankenhauses mittels Design und Qualitätsverbesserung.;"Qualitatives Design: 8 Interviews, 1 Fokusgruppe (11 Teilnehmer), 3 Observationen. Die Intervention erhöhte Bewusstsein und Wissen, förderte Reflexion und kollektive Verantwortung. Das COM-B-Modell zeigte Verbesserungen der Capability, Opportunity und Motivation für Klimahandeln; Herausforderungen: variable Engagement, Zeitdruck, Abhängigkeit von Testleiter.";Schweden, europäisches Krankenhaus, Implementierungsperspektiven auf Deutschland übertragbar;42393663;https://pubmed.ncbi.nlm.nih.gov/42393663/
2026-09-02;Bartolini E et al.;Aug. 2026;22.08.2026;Eur J Neurol;2026;Klimawandel und Epilepsie-Fachleute: Italienische Befragung zu Bewusstsein und Vorsorge;Nationale anonyme Online-Befragung italienischer Epilepsie-Fachleute zu Bewusstsein, Haltungen und Preparedness bezüglich Klimawandel und Patientengesundheit (167 Antworten).;"100 % bestätigten globale Erwärmung; 84,3 % zeigten mäßige bis schwere Besorgnis um Patienten; 99,4 % unterstützten Fortbildung zu Klima und Gesundheit; 88,6 % befürworteten Patientenmaterialien; 97 % unterstützten Nachhaltigkeitsrichtlinien am Arbeitsplatz. Individuelle Maßnahmen häufig (93,3 % recyceln mehr), institutionelle Initiativen seltener (46,1 % Telemedizin, 42,6 % keine Verkehrsinitiative).";Italien, gemäßigte Klimazone, EU-Land, südeuropäisches Setting;42629975;https://pubmed.ncbi.nlm.nih.gov/42629975/
2026-09-02;Wang J et al.;20.07.2026;21.07.2026;BMC Pulm Med;2026;Innenraumluft und berufliche Expositionen: Asthmarisiko in schwedischer Bevölkerung;Die REGAL-Studie verknüpft Wohnumfeld- und Arbeitsplatzexpositionen mit zukünftiger Inhalationskortikosteroid-Therapie in zwei schwedischen Bevölkerungskohorten (31.768 Teilnehmer, 10,7 Jahre Follow-up).;"Bodenfeuchte (HR = 1,42; 95%-KI 1,14–1,77), reizende Innenraumluft (HR = 1,46; 95%-KI 1,29–1,65) und berufliche Exposition gegenüber Gas/Rauch/Staub (HR = 1,25; 95%-KI 1,12–1,40) erhöhten das Risiko für initiierte ICS-Therapie signifikant.";Skandinavien, gemäßigte Klimazone, vergleichbare Gesundheitssystem-Struktur;42477710;https://pubmed.ncbi.nlm.nih.gov/42477710/
2026-09-02;Hoang TT et al.;07.07.2026;10.07.2026;Environ Health Perspect;2026;Pränatal-Rauchen und DNA-Methylierung bei Neugeborenen: Epigenome-wide Meta-Analyse;PACE-Konsortiums-Meta-Analyse untersucht pränatale Tabakexposition und epigenomweite DNA-Methylierung in Neugeborenenblut über 19 Kohorten (11.175 Eltern-Neugeborenen-Paare).;"Mütterliches andauerndes Rauchen: 8.862 differenziell methylierte CpG-Stellen (FDR < 0,05); über 300 neue Gene identifiziert. Sekundärexposition (SHS), ehemaliges Rauchen und väterliches Rauchen zeigten minimale bis keine Methylierungsänderungen außer cg24805739 (MED13L) bei paternalem ehemaliges Rauchen.";Multizentrisch (Nord- und Südamerika, Europa), übertragbar auf gemäßigte Zonen;42428256;https://pubmed.ncbi.nlm.nih.gov/42428256/
2026-09-02;Knapová L et al.;Aug. 2026;08.07.2026;Appl Psychol Health Well Being;2026;Luftverschmutzung und tägliche Aktivität: Feinstaub reduziert Schritte um 361 pro Tag;Multilevel-Bayes-Analyse der täglichen Beziehung zwischen PM₁₀-Exposition und Schrittanzahl über 14 Tage bei 693 Erwachsenen in einer Industrieregion Tschechiens (9.702 tägliche Beobachtungen).;"Auf Tagen mit erhöhtem PM₁₀ (über Individualmittel): Schritzahl –0,027 SD niedriger (95%-KI [–0,047, –0,006]); 1-SD-PM₁₀-Anstieg = 361 weniger Schritte. Selbstberichtete Luftqualitäts-Monitoring-Tendenz moderierte Beziehung nicht (b = –0,003; 95%-KI [–0,044, 0,038]).";Tschechien, gemäßigte Klimazone, Industrieregion mit messbarem Klimawandelbezug;42415238;https://pubmed.ncbi.nlm.nih.gov/42415238/
